transaction_id,settlement_date,settlement_status,delay_hours
1,12-06-2024 21:42,Settled,23
2,06-02-2024 11:26,Settled,66
3,02-10-2024 01:21,Failed,52
4,21-01-2024 01:58,Settled,27
5,23-01-2024 16:17,Settled,50
6,07-10-2024 21:11,Settled,33
7,31-10-2024 05:39,Settled,71
8,20-09-2024 17:52,Settled,13
9,03-10-2024 05:46,Settled,4
10,03-01-2024 20:27,Settled,27
11,05-03-2024 18:41,Failed,0
12,26-02-2024 19:03,Settled,67
13,27-12-2024 21:37,Settled,40
14,25-06-2024 23:48,Settled,36
15,23-04-2024 14:41,Settled,15
16,30-09-2024 08:45,Settled,17
17,14-06-2024 20:52,Settled,11
18,23-12-2024 11:45,Settled,43
19,29-04-2024 03:55,Settled,24
20,19-05-2024 20:51,Settled,32
21,05-02-2024 15:01,Settled,65
22,24-12-2024 08:10,Settled,10
23,02-08-2024 05:26,Failed,4
24,09-03-2024 19:09,Settled,28
25,12-08-2024 18:04,Settled,5
26,25-05-2024 10:03,Settled,58
27,27-04-2024 08:22,Settled,55
28,01-02-2024 00:27,Settled,36
29,11-05-2024 04:00,Settled,23
30,09-04-2024 09:33,Settled,55
31,16-08-2024 12:54,Settled,5
32,23-04-2024 01:30,Failed,53
33,31-05-2024 08:57,Settled,66
34,22-12-2024 00:48,Failed,1
35,01-08-2024 01:23,Settled,66
36,02-02-2024 18:05,Pending,0
37,09-09-2024 21:48,Settled,56
38,27-02-2024 00:18,Settled,68
39,08-06-2024 05:18,Settled,6
40,17-02-2024 18:56,Settled,35
41,09-09-2024 14:59,Settled,18
42,08-06-2024 20:43,Settled,1
43,26-07-2024 22:57,Pending,45
44,14-12-2024 08:01,Settled,3
45,24-03-2024 07:13,Settled,9
46,17-02-2024 04:01,Settled,3
47,19-07-2024 23:02,Settled,16
48,21-05-2024 13:28,Settled,15
49,27-05-2024 14:09,Settled,51
50,21-04-2024 00:48,Settled,64
51,30-03-2024 18:41,Settled,50
52,14-11-2024 19:48,Settled,32
53,06-05-2024 03:54,Settled,21
54,17-11-2024 20:33,Settled,33
55,23-01-2024 15:24,Settled,41
56,15-12-2024 01:08,Failed,48
57,11-01-2024 18:58,Failed,14
58,16-12-2024 00:22,Settled,70
59,26-09-2024 16:29,Settled,51
60,11-08-2024 11:21,Settled,38
61,23-12-2024 16:15,Failed,34
62,20-07-2024 07:13,Settled,16
63,07-08-2024 00:29,Settled,64
64,26-05-2024 04:30,Failed,22
65,06-04-2024 00:31,Settled,34
66,20-03-2024 12:02,Settled,30
67,03-12-2024 17:50,Settled,11
68,09-09-2024 04:55,Failed,48
69,07-04-2024 03:49,Settled,24
70,14-10-2024 14:26,Failed,52
71,24-08-2024 23:21,Settled,60
72,30-04-2024 11:20,Settled,36
